Medal,Athlete,Discipline,Event,Gender,Edition
Gold,Adam Peaty,Swimming,Men's 100 m breaststroke,Male,2016
Gold,Joe Clarke,Canoeing,Men's K-1,Male,2016
Gold,"Jack Laugher
Chris Mears",Diving,Men's 3 m synchronized springboard,Male,2016
Gold,"Philip Hindes
Jason Kenny
Callum Skinner",Cycling,Men's team sprint,Male,2016
Gold,"Helen Glover
Heather Stanning",Rowing,Women's coxless pair,"Female
",2016
Gold,"Alex Gregory
Constantine Louloudis
George Nash
Mohamed Sbihi",Rowing,Men's coxless four,Male,2016
Gold,"Steven Burke
Ed Clancy
Owain Doull
Bradley Wiggins",Cycling,Men's team pursuit,Male,2016
Gold,Paul Bennett Pete Reed Scott Durant William Satch Matt Gotrel Andrew Triggs Hodge Matt Langridge Phelan Hill Tom Ransley,Rowing,Men's eight,Male,2016
Gold,"Katie Archibald
Elinor Barker
Joanna Rowsell
Laura Trott",Cycling,Women's team pursuit,"Female
",2016
Gold,Mo Farah,Athletics,"Men's 10,000 metres",Male,2016
Gold,Max Whitlock,Gymnastics,Men's floor,Male,2016
Gold,Justin Rose,Golf,Men's individual,Male,2016
Gold,Max Whitlock,Gymnastics,Men's pommel horse,Male,2016
Gold,Jason Kenny,Cycling,Men's sprint,Male,2016
Gold,Andy Murray,Tennis,Men's singles,Male,2016
Gold,Charlotte Dujardin,Equestrian,Individual dressage,Mixte,2016
Gold,Giles Scott,Sailing,Finn,Male,2016
Gold,Laura Trott,Cycling,Women's omnium,"Female
",2016
Gold,Jason Kenny,Cycling,Men's keirin,Male,2016
Gold,Alistair Brownlee,Triathlon,Men's triathlon,Male,2016
Gold,"Saskia Clark
Hannah Mills",Sailing,Women's 470,"Female
",2016
Gold,Jade Jones,Taekwondo,Women's 57 kg,"Female
",2016
Gold,Nick Skelton,Equestrian,Individual jumping,Mixte,2016
Gold,Great Britain women's field hockey teamMaddie Hinch Sam Quek Laura Unsworth Alex Danson Crista Cullen Giselle Ansley Hannah Macleod Sophie Bray Georgie Twigg Hollie Webb Helen Richardson-Walsh Shona McCallin Susannah Townsend Lily Owsley Kate Richardson-Walsh Nicola White,Field hockey,Women’s tournament,"Female
",2016
Gold,Liam Heath,Canoeing,Men's K-1 200 metres,Male,2016
Gold,Nicola Adams,Boxing,Women's flyweight,"Female
",2016
Gold,Mo Farah,Athletics,"Men's 5,000 metres",Male,2016
Silver,Jazmin Carlin,Swimming,Women's 400 m freestyle,"Female
",2016
Silver,Siobhan-Marie O'Connor,Swimming,Women's 200 m individual medley,"Female
",2016
Silver,"James Guy
Stephen Milne
Duncan Scott
Daniel Wallace
Robbie Renwick*",Swimming,Men's 4 × 200 m freestyle relay,Male,2016
Silver,"Vicky Thornley
Katherine Grainger",Rowing,Women's double sculls,"Female
",2016
Silver,"David Florence
Richard Hounslow",Canoeing,Men's C-2,Male,2016
Silver,"Great Britain national rugby sevens team
Mark Robertson Dan Bibby Ruaridh McConnochie James Davies Phil Burgess Ollie Lindsay-Hague Dan Norton Sam Cross James Rodwell Marcus Watson Tom Mitchell Mark Bennett",Rugby sevens,Men’s tournament,Male,2016
Silver,"Fiona Bigwood
Charlotte Dujardin
Carl Hester
Spencer Wilton",Equestrian,Team dressage,Mixte,2016
Silver,Bryony Page,Gymnastics,Women's trampoline,"Female
",2016
Silver,Jazmin Carlin,Swimming,Women's 800 m freestyle,"Female
",2016
Silver,Karen Bennett Zoe Lee Olivia Carnegie-Brown Polly Swann Jessica Eddie Melanie Wilson Katie Greves Zoe De Toledo Frances Houghton,Rowing,Women's eight,"Female
",2016
Silver,Becky James,Cycling,Women's keirin,"Female
",2016
Silver,"James Guy
Adam Peaty
Duncan Scott
Chris Walker-Hebborn",Swimming,Men's 4 × 100 m medley relay,Male,2016
Silver,Jessica Ennis-Hill,Athletics,Women's heptathlon,"Female
",2016
Silver,Nick Dempsey,Sailing,Men's RS:X,Male,2016
Silver,Louis Smith,Gymnastics,Men's pommel horse,Male,2016
Silver,Callum Skinner,Cycling,Men's sprint,Male,2016
Silver,Mark Cavendish,Cycling,Men's omnium,Male,2016
Silver,Becky James,Cycling,Women's sprint,"Female
",2016
Silver,Jack Laugher,Diving,Men's 3 m springboard,Male,2016
Silver,"Liam Heath
Jon Schofield",Canoeing,Men's K-2 200 metres,Male,2016
Silver,Jonathan Brownlee,Triathlon,Men's triathlon,Male,2016
Silver,Lutalo Muhammad,Taekwondo,Men's −80 kg,Male,2016
Bronze,Edward Ling,Shooting,Men's trap,Male,2016
Bronze,"Tom Daley
Daniel Goodfellow",Diving,Men's 10 m synchronized platform,Male,2016
Bronze,Chris Froome,Cycling,Men's road time trial,Male,2016
Bronze,Steven Scott,Shooting,Men's double trap,Male,2016
Bronze,Sally Conway,Judo,Women's 70 kg,"Female
",2016
Bronze,Max Whitlock,Gymnastics,Men's all-around,Male,2016
Bronze,Greg Rutherford,Athletics,Men's long jump,Male,2016
Bronze,Sophie Hitchon,Athletics,Women's hammer throw,"Female
",2016
Bronze,Amy Tinkler,Gymnastics,Women's floor,"Female
",2016
Bronze,Nile Wilson,Gymnastics,Men's horizontal bar,Male,2016
Bronze,Katy Marchant,Cycling,Women's sprint,"Female
",2016
Bronze,Joshua Buatsi,Boxing,Men's light heavyweight,Male,2016
Bronze,"Marcus Ellis
Chris Langridge",Badminton,Men's doubles,Male,2016
Bronze,"Daryll Neita
Asha Philip
Desiree Henry
Dina Asher-Smith",Athletics,Women's 4 × 100 m relay,"Female
",2016
Bronze,Vicky Holland,Triathlon,Women's triathlon,"Female
",2016
Bronze,Bianca Walkden,Taekwondo,Women's +67 kg,"Female
",2016
Bronze,"Emily Diamond
Eilidh Doyle
Anyika Onuora
Kelly Massey*
Christine Ohuruogu",Athletics,Women's 4 × 400 m relay,"Female
",2016